DATAID,VERSION_NUM,ENTITY_NAME,REFERENCE_NUM,ADDRESS_CITY,ADDRESS_COUNTRY
6908451,1,HAJI BASIR AND ZARJMIL COMPANY HAWALA,TAe.014,Sanatan Bazaar Street,Pakistan
2989469,1,HAJI KHAIRULLAH HAJI SATTAR MONEY EXCHANGE,TAe.010,,
6908604,1,"HANIFA MONEY EXCHANGE OFFICE (BRANCH LOCATED IN ALBU KAMAL,SYRIAN ARAB REPUBLIC) ",QDe.153,Albu Kamal (Al-Bukamal),Syrian Arab Republic
6908672,1,"HAPJANGGANG SHIPPING CORP ",KPe.058,,Democratic People's Republic of Korea
3000441,1,HAQQANI NETWORK (HQN),TAe.012,,
110379,1,HARA COMPANY,IRe.025,,
6908521,1,HARAKAT SHAM AL-ISLAM,QDe.149,,Syrian Arab Republic
113263,1,HARAKAT UL-MUJAHIDIN / HUM,QDe.008,,Pakistan
2921366,1,HARAKAT-UL JIHAD ISLAMI,QDe.130,,
6908517,1,HESONG TRADING COMPANY,KPe.024,Pyongyang,Democratic People's Republic of Korea
6908448,1,HILAL AHMAR SOCIETY INDONESIA (HASI),QDe.147,,
690755,1,HONG KONG ELECTRONICS,KPe.005,,"Iran "
6908693,1,HUAXIN SHIPPING HONGKONG LTD,KPe.059,,China
6908183,1,IDLEB COMPANY FOR SPINNING,IQe.049,Idleb,Iraq
6908551,1,ILSIM INTERNATIONAL BANK,KPe.034,Pyongyang,Democratic People's Republic of Korea
110378,1,IMENSAZAN CONSULTANT ENGINEERS INSTITUTE,IRe.026,,
110377,1,INDUSTRIAL FACTORIES OF PRECISION (IFP) MACHINERY,IRe.027,,
114074,1,ISLAMIC ARMY OF ADEN,QDe.009,,
113963,1,ISLAMIC INTERNATIONAL BRIGADE (IIB),QDe.099,,
113853,1,ISLAMIC JIHAD GROUP,QDe.119,,
113964,1,ISLAMIC MOVEMENT OF UZBEKISTAN,QDe.010,,
6908777,1,ISLAMIC STATE IN IRAQ AND THE LEVANT - KHORASAN (ISIL-K),QDe.161,,
6908836,1,ISLAMIC STATE IN IRAQ AND THE LEVANT - LIBYA,QDe.165,,
6908837,1,ISLAMIC STATE IN IRAQ AND THE LEVANT - YEMEN,QDe.166,,
6908803,1,ISLAMIC STATE IN THE GREATER SAHARA (ISGS),QDe.163,,
6908802,1,ISLAMIC STATE WEST AFRICA PROVINCE (ISWAP),QDe.162,,
113965,1,JAISH-I-MOHAMMED,QDe.019,,Pakistan
113854,1,JAM'YAH TA'AWUN AL-ISLAMIA,QDe.020,Kandahar City,Afghanistan
6908726,1,JAMA'A NUSRAT UL-ISLAM WA AL-MUSLIMIN (JNIM),QDe.159,,
6908431,1,JAMA'ATU AHLIS SUNNA LIDDA'AWATI WAL-JIHAD,QDe.138,,Nigeria
6908835,1,JAMAAH ANSHARUT DAULAH,QDe.164,,
6908599,1,JAMAAT-UL-AHRAR (JuA),QDe.152,Lalpura,
113967,1,JEMAAH ISLAMIYAH,QDe.092,,
2983820,1,JEMMAH ANSHORUT TAUHID (JAT),QDe.133,"Cemani, Grogol, Sukoharjo, Jawa Tengah",Indonesia
110373,1,JOZA INDUSTRIAL CO.,IRe.031,,
6908607,1,JUND AL AQSA,QDe.156,,Syrian Arab Republic
6908486,1,JUND AL-KHILAFAH IN ALGERIA (JAK-A),QDe.151,,Algeria
6908862,1,JUND AL-KHILAFAH IN TUNISIA (JAK-T),QDe.167,,
6908606,1,Jaysh Khalid Ibn al Waleed,QDe.155,,
110372,1,KALA-ELECTRIC,IRe.032,,
6908594,1,KANGBONG TRADING CORPORATION,KPe.043,,Democratic People's Republic of Korea
110370,1,KAVEH CUTTING TOOLS COMPANY,IRe.034,"Mashad, 91638",Iran (Islamic Republic of)
110368,1,KHATAM AL-ANBIYA CONSTRUCTION HEADQUARTERS (KAA),IRe.036,,
6908877,1,KHATIBA AL-TAWHID WAL-JIHAD (KTJ),QDe.168,,
6908669,1,KHATIBA IMAM AL-BUKHARI (KIB),QDe.158,,
110367,1,KHORASAN METALLURGY INDUSTRIES,IRe.037,,
6908673,1,"KINGLY WON INTERNATIONAL CO., LTD",KPe.060,Majuro MH,Marshall Islands
6908674,1,KOREA ACHIM SHIPPING CO,KPe.061,,Democratic People's Republic of Korea
6908675,1,"KOREA ANSAN SHIPPING COMPANY ",KPe.062,,Democratic People's Republic of Korea
690770,1,KOREA COMPLEX EQUIPMENT IMPORT CORPORATION,KPe.019,Pyongyang,Democratic People's Republic of Korea
6908552,1,KOREA DAESONG BANK,KPe.035,Pyongyang,Democratic People's Republic of Korea
6908560,1,KOREA DAESONG GENERAL TRADING CORPORATION,"KPe.042 ",Pyongyang City,Democratic People's Republic of Korea
6908557,1,KOREA FOREIGN TECHNICAL TRADE CENTER,KPe.037,,Democratic People's Republic of Korea
690762,1,KOREA HEUNGJIN TRADING COMPANY,KPe.011,Pyongyang,Democratic People's Republic of Korea
690756,1,KOREA HYOKSIN TRADING CORPORATION,KPe.006,Pyongyang,Democratic People's Republic of Korea
6908562,1,KOREA INTERNATIONAL CHEMICAL JOINT VENTURE COMPANY,KPe.039,Hamhung,Democratic People's Republic of Korea
690765,1,KOREA KUMRYONG TRADING CORPORATION,KPe.014,,
6908595,1,KOREA KUMSAN TRADING CORPORATION,"KPe.044 ",Pyongyang,Democratic People's Republic of Korea
6908518,1,KOREA KWANGSON BANKING CORPORATION (KKBC),KPe.025,Pyongyang,Democratic People's Republic of Korea
6908519,1,KOREA KWANGSONG TRADING CORPORATION,KPe.026,Pyongyang,Democratic People's Republic of Korea
690735,1,KOREA MINING DEVELOPMENT TRADING CORPORATION,KPe.001,Pyongyang,Democratic People's Republic of Korea
6908676,1,"KOREA MYONGDOK SHIPPING CO ",KPe.063,,Democratic People's Republic of Korea
6908561,1,KOREA PUGANG TRADING CORPORATION,KPe.038,Pyongyang,Democratic People's Republic of Korea
690751,1,KOREA RYONBONG GENERAL CORPORATION,KPe.002,Pyongyang,Democratic People's Republic of Korea
690767,1,KOREA RYONHA MACHINERY JOINT VENTURE CORPORATION,KPe.016,Pyongyang,Democratic People's Republic of Korea
6908678,1,KOREA SAMMA SHIPPING CO,KPe.065,Pyongyang,Democratic People's Republic of Korea
6908559,1,KOREA TAESONG TRADING COMPANY,"KPe.041 ",Pyongyang,Democratic People's Republic of Korea
6908563,1,"KOREA UNITED DEVELOPMENT BANK ","KPe.033 ",Pyongyang,Democratic People's Republic of Korea
6908680,1,"KOREA YUJONG SHIPPING CO LTD ",KPe.066,Pyongyang,Democratic People's Republic of Korea
690763,1,KOREAN COMMITTEE FOR SPACE TECHNOLOGY,KPe.012,Pyongyang,Democratic People's Republic of Korea
6908623,1,"KOREAN NATIONAL INSURANCE COMPANY (KNIC) ",KPe.048,Pyongyang,Democratic People's Republic of Korea
